prompt,completion
"Would start shower ? ,","Would you start the shower?,"
"called ? ,","Who called?,"
"cramping ,","It's cramping,"
"mind ? ,","You don't mind?,"
"That's way cookie crumbles ,","That's the way the cookie crumbles,"
"I'm happy ,","I'm happy,"
"turn computer ? ,","Can you turn on the computer?,"
"shoes ? ,","Can I have my shoes?,"
"move pillow neck ,","Please move the pillow under my neck,"
"know ,","I know it,"
"Really ,","Really,"
"Right ,","Right,"
"Good ,","Good,"
"Really ,","Really,"
"go ? ,","Can I go with you?,"
"Uh-huh ,","Uh-huh,"
"Yeah ,","Yeah,"
"Wake ,","Wake up,"
"Let's watch movie ,","Let's watch a movie,"
"Good ,","Good,"
"Right ,","Right,"
"Help , I'm getting dressed ,","Help me, I'm getting dressed,"
"see ? ,","Did you see?,"
"scratch left ,","Please scratch left,"
"Help move ,","Help me move this please,"
"way ,","By the way,"
"help put ? ,","Can you help me put this on?,"
"Hi , name Dan ,","Hi, my name is Dan,"
"today ? ,","How are you today?,"
"really nice meet ,","It's really nice to meet you,"
"think ,","I think that,"
"I'd rather ,","I'd rather not,"
"need wiped ,","I need to be wiped,"
"May something eat ? ,","May I have something to eat?,"
"grade ? ,","What grade are you in?,"
"Tell ,","Tell me about yourself,"
"brush hair ,","Please brush my hair,"
"think president ? ,","What do you think about the president?,"
"change position bed ,","Please change the position of the bed,"
"What's happening ? ,","What's happening?,"
"work ? ,","Where do you work?,"
"What's new ? ,","What's new?,"
"live ? ,","Where do you live?,"
"What's name ? ,","What's your name?,"
"Uh-huh ,","Uh-huh,"
"Could speak little ? ,","Could you speak up a little?,"
"repeat ? ,","Can you please repeat that?,"
"changed mind ,","I changed my mind,"
"anyone ideas ? ,","Does anyone have any ideas?,"
"hear ,","I didn't hear you,"
"Let's see ,","Let's see,"
"Keep going , need break ,","Keep going, I need a break,"
"mean ? ,","What do you mean?,"
"talking ? ,","Who are you talking about?,"
"Excuse ? ,","Excuse me?,"
"Goodnight Sleep tight ,","Goodnight Sleep tight,"
"Good see ,","Good to see you,"
"Fine ? ,","Fine How are you?,"
"nice day ,","Have a nice day,"
"come right back ,","Please come right back,"
"help get ready ,","Please help me get ready,"
"change position chair left ,","Please change the position of the chair left,"
"Hey , Taylor ,","Hey, Taylor,"
"I'm sorry ,","I'm sorry,"
"look happy ,","You look happy,"
"look frustrated ,","You look frustrated,"
"What's happening ? ,","What's happening with you?,"
"welcome ,","You are welcome,"
"minute ,","Any minute now,"
"fast ,","As fast as you can,"
"time ,","All the time,"
"soon possible ,","As soon as possible,"
"go ,","Before I go on,"
"go ,","Before I go,"
"Get earlier ,","Get me up earlier,"
"fast ? ,","How fast?,"
"long ago ? ,","How long ago?,"
"came early ,","I came early,"
"already ,","I already did,"
"long take ? ,","How long does it take?,"
"might check tomorrow ,","I might check that out tomorrow,"
"want hurry ,","I want to hurry up,"
"time ,","If there is time,"
"time ,","I was on time,"
"I'll ,","I'll do that now,"
"seem fast enough ,","It doesn't seem fast enough,"
"would like French fries ,","I would like some French fries,"
"would like raisins ,","I would like to have some raisins,"
"would like orange ,","I would like to have an orange,"
"I'd like plain bagel ,","I'd like to have a plain bagel,"
"like ,","I don't like this,"
"put cheese sandwich ,","Please don't put any cheese on my sandwich,"
"find ,","Please find out,"
"I'd like tuna fish ,","I'd like tuna fish,"
"time ? ,","What time?,"
"Let see ,","Let me see it,"
"What's lunch ? ,","What's for lunch?,"
"really like ,","I really like her,"
"tomorrow ,","We will do it tomorrow,"
"like pizza ,","I like to have some pizza,"
"get done ,","When I get it done,"
"like ,","I don't like him,"
"wait ,","We have to wait,"
"really like ,","I really like them,"
"change position chair ,","Please change the position of the chair down,"
"last time ,","The last time,"
"twice ,","Once or twice,"
"help move ? ,","Can you help me move?,"
",","Once again,"
",","Now it is,"
"good today ,","Not so good today,"
"help put socks ? ,","Can you help me put on my socks?,"
",","Not now,"
"time ,","It's about time,"
"feel terrible ,","I feel terrible,"
"turn radio ,","Please turn off the radio,"
"spoon ? ,","Can I have a spoon?,"
"straighten room ? ,","Did you straighten out your room?,"
"wait find ,","Just wait and find out,"
"put pillow knees ,","Please put a pillow between my knees,"
"busy time ,","It's busy all the time,"
"That's great ,","That's great,"
"takes time ,","It takes time,"
"I'm waiting ,","I'm waiting for it,"
"Hand , ,","Hand me that, please,"
"starving ,","I am starving,"
"never liked ,","I never liked them,"
"knife ? ,","Can I have a knife?,"
"Late night ,","Late at night,"
"get back ,","When you get back,"
"time think ? ,","What time do you think?,"
"Happens every often ,","Happens every so often,"
"I'll eat meat ,","I'll eat meat,"
"Get life ,","Get a life,"
"? ,","When are you here?,"
"need urinal ,","I need a urinal,"
"move ? ,","Can you move me over there?,"
"want eat ,","I want to eat now,"
"hate eat ,","I hate to eat,"
"going ? ,","Where are you going?,"
"tell ? ,","Why didn't you tell me?,"
"need call family ,","I need you to call my family,"
"Put ,","Put that there,"
"? ,","How have you been?,"
"rub shoulders ,","Please rub my shoulders,"
"Tell ,","Tell me some more,"
"Yeah ,","Yeah,"
"Hey , Sandro ,","Hey, Sandro,"
"change position chair ,","Please change the position of the chair,"
"Oops ,","Oops,"
"How's going ? ,","How's it going?,"
"right ,","All right,"
"minute ,","Just a minute,"
"Ouch ,","Ouch,"
"aggravating ,","This is aggravating,"
"See later ,","See you later,"
"I'm ready ,","When I'm ready,"
"help lunch ? ,","Can you help me with my lunch?,"
"Thank ,","Thank you,"
",","Please,"
"look tired ,","You look tired,"
"What's new ? ,","What's new?,"
"Watch ,","Watch out,"
"look sad ,","You look sad,"
"dinner ,","For dinner,"
"I'll wait ,","I'll wait,"
"long take ? ,","How long will it take?,"
"zipper jacket ? ,","Can you please zipper up my jacket?,"
"put pillow arm ,","Please put a pillow under my arm,"
"Huh ,","Huh,"
"change position chair ,","Please change the position of the chair up,"
"wait moment ? ,","Can you wait a moment?,"
"used ,","I used to,"
"I'm done ,","I'm all done,"
"get ,","I get it,"
"Let see ,","Let me see that,"
"Maybe later ,","Maybe later,"
"way ,","No way,"
"Hi ,","Hi,"
"Let's try ,","Let's try that again,"
"? ,","Have you been there?,"
"Goodbye ,","Goodbye,"
"time ,","Most of the time,"
"right ,","You're right about that,"
"Goodbye ,","Goodbye,"
"open door ,","Please open the door,"
"quite yet ,","Not quite yet,"
"Hey , Mom ,","Hey, Mom,"
"blue moon ,","Once in a blue moon,"
"weekend ,","This weekend,"
"help get dressed ,","Please help me get dressed,"
"Hey , Lucas ,","Hey, Lucas,"
"Hey , Kayla ,","Hey, Kayla,"
"Hey , Trevor ,","Hey, Trevor,"
"Hey , Raz ,","Hey, Raz,"
"Hey , Corinne ,","Hey, Corinne,"
"get tomorrow ,","We will get to it tomorrow,"
"I'd like bowl cereal ,","I'd like a bowl of cereal,"
"Ouch ,","Ouch,"
"happened ,","It happened again,"
"still time ,","I still have the time,"
"like ,","I like her,"
"time ,","It's time,"
"like ,","I like to do it,"
"love play music ,","I love to play music,"
"take outside ,","Please take me outside,"
"time show ,","It's time for the show,"
"never liked ,","I never liked him,"
"time ? ,","What time is it?,"
"There's enough time ,","There's not enough time,"
"Call back minutes ,","Call me back in a few minutes,"
"turn heat ,","Please turn on the heat,"
"I've never liked ,","I've never liked them,"
"pull shade ,","Please pull down the shade,"
"really helped ,","It's really helped,"
"enjoyed conversation ,","I enjoyed our conversation,"
"understand ? ,","Do you understand me?,"
"talk soon ,","I will talk to you soon,"
"I've always liked ,","I've always liked them,"
"What's ? ,","What's that?,"
"use machine help talk ,","I use a machine to help me talk,"
"I'll try call ,","I'll try and call you,"
"I'm going call ,","I'm going to call him,"
"I'm going call ,","I'm going to call her,"
"let know called ,","I will let him know that you called,"
"I'm going call ,","I'm going to call them,"
"I'm happy called ,","I'm so happy you called,"
"I'll talk soon ,","I'll talk to you soon,"
"That's optimistic ,","That's optimistic,"
"Dan ,","This is Dan,"
"Professor Lomba ,","This is Professor Lomba,"
"Come back soon ,","Come back again soon,"
"Great see ,","Great to see you again,"
"OK ,","I did OK,"
"like ,","I don't like it,"
"mind ,","I don't mind,"
"disagree ,","I disagree,"
"believe ,","I don't believe it,"
"hate ,","I hate it,"
"like better ,","I like it better,"
"need ,","I need it,"
"really like ,","I really like it,"
"think he's kind nice ,","I think he's kind of nice,"
"noticed ,","I noticed it,"
"glad ,","I was so glad,"
"I'm well ,","I'm doing well,"
"I'm glad ,","I'm glad,"
"I'd like ,","I'd like to do it,"
"feels great ,","It feels great,"
"I'm nervous ,","I'm nervous,"
"feels good ,","It feels good,"
"I'm mad ,","I'm not mad at you,"
"sounds confusing ,","It sounds confusing,"
"I've ,","I've had it,"
"amazing ,","It's amazing,"
"hurts ,","That hurts,"
"great ,","Just great,"
"jerk ,","What a jerk,"
"always ,","I will always be with you,"
"That's like ,","That's what I like,"
"can't think ,","I can't think about,"
"wish go ,","I wish I didn't have to go through this,"
"Mom ,","Mom,"
"Sandro ,","Sandro,"
"Sarah ,","Sarah,"
"Lucas ,","Lucas,"
"Amos ,","Amos,"
"Trevor ,","Trevor,"
"turn TV ,","Please turn off the TV,"
"Chris ,","Chris,"
"Wayne ,","Wayne,"
"Let's go outside ,","Let's go outside,"
"Another snowy day ,","Another snowy day,"
"hope snow ,","I hope it doesn't snow,"
"drizzling ,","It's drizzling,"
"hot ,","It's hot in here,"
"cloudy ,","It's cloudy,"
"dark ,","It's dark in here,"
"sunny ,","It's sunny,"
"hope ,","I hope,"
"raining ,","It's raining,"
"foggy ,","It's foggy,"
"nice inside ,","It's too nice to be inside,"
"need blanket ,","I need a blanket,"
"get going ,","I have to get going,"
"would like ,","I would like,"
"need pillow ,","I need a pillow,"
"careful ,","Be careful,"
"play movie ? ,","Can you play a movie?,"
"good come today ,","It was good of you to come by today,"
"I'm glad got meet ,","I'm so glad I got to meet you,"
"excited ? ,","Are you excited?,"
"Bring ,","Bring that over here,"
"? ,","Can I do this?,"
"try 1 ? ,","Can I try 1?,"
"mind ? ,","Do you mind?,"
"Could ? ,","Could I have some?,"
"use ? ,","Can I use it?,"
",","Don't do that again,"
"I'd like see ,","I'd like to see it,"
"Go back bed ,","Go back to bed,"
"complain ,","Don't complain,"
"heard anything ? ,","Have you heard anything?,"
"? ,","Have you been there?,"
"Grab one ,","Grab one of those,"
"Listen ,","Listen to that,"
"Let's play ,","Let's play,"
"need ,","I need it,"
"Someone helped ? ,","Someone helped me?,"
"get ,","Please get out of here,"
"ought try ,","We ought to try that,"
"Would ? ,","Would you do it?,"
"Tell day ,","Tell me about your day,"
"get ,","Please get me some,"
"Talk soon ,","Talk to you soon,"
"What's happening ? ,","What's happening with you?,"
"stop ,","We have to stop,"
"put away ? ,","Why don't you put that away?,"
"Would help coat ? ,","Would you help me with my coat?,"
"? ,","Why don't we do that?,"
"Thanks stopping ,","Thanks for stopping by,"
"wait ,","Please wait for me,"
"Would make phone call ? ,","Would you make a phone call for me?,"
"really think ? ,","Do you really think so?,"
"Would help pajamas ? ,","Would you help me with my pajamas?,"
"mind ? ,","Are you out of your mind?,"
"really think ? ,","Do you really think so?,"
"Absolutely ,","Absolutely not,"
"Get help ,","Get help now,"
"really awful ,","That is really awful,"
"think correct ,","I think that is correct,"
"could helped little bit ,","He could have helped out a little bit,"
"Ohh , that's great ,","Ohh, that's great for you,"
"amazing ,","You are amazing,"
"could given call ,","You could have given me a call,"
"possibility ,","That is a possibility,"
"could said something ,","You could have said something,"
"done great job ,","You've done a great job,"
"want go ,","I want to go out,"
"There's ,","There's more over there,"
"I'm going back ,","I'm going back,"
"going movies ,","We are going to the movies,"
"go ? ,","Where should I go?,"
"know keys ? ,","Do you know where my keys are?,"
"helped much ,","You've helped me so much,"
"I'm family room ,","I'm in the family room,"
"I'm living room ,","I'm in the living room,"
"going ,","We are going now,"
",","It's over there,"
"I'm office ,","I'm in the office,"
"works intermittently ,","It works intermittently,"
"one thing ,","Just one more thing,"
"lecture ,","I am in a lecture,"
"see ,","I will see you,"
"I'm bathroom ,","I'm in the bathroom,"
"Let tell ,","Let me tell you why,"
"I'll let know ,","I'll let you know,"
"Let's ,","Let's do it again,"
"I'd better go ,","I'd better go,"
"Listen ,","Listen to me,"
"Let's see ,","Let's see now,"
"I'm done ,","I'm done,"
"Tell ,","Tell me about it,"
"think ? ,","What do you think?,"
"? ,","What is it now?,"
"Careful , hurting ,","Careful, you're hurting me,"
"Tell ,","Tell me about it,"
"See later ,","See you later,"
"say ? ,","What did you say?,"
"know something ? ,","You know something?,"
"help ? ,","Can you help me please?,"
"go ,","You don't have to go,"
"think long enough ,","I think it's long enough,"
"want ,","I don't want that,"
",","Don't do that again,"
"handle ,","I can handle it,"
"I'm child ,","I'm not a child,"
"I'm well ,","I'm doing well,"
"I'll let know ,","I'll let you know,"
"know think ? ,","You know what I think?,"
"Well , see later ,","Well, I see you later,"
"I'm going take ,","I'm not going to take it,"
"I'm contagious ,","I'm not contagious,"
",","It's up to me,"
"tell truth ,","Just tell the truth,"
"rushed ,","Too rushed,"
"think time leave ,","I think it's time to leave,"
"touch ,","Please don't touch me,"
"interrupt ,","Please don't interrupt,"
", I'm ,","No, I'm not,"
"move ,","Please move that,"
"wait finish I'm trying say ,","Please wait until I finish what I'm trying to say,"
"keep mind healthy ,","Please keep in mind that I was very healthy,"
"What's next ? ,","What's next?,"
"bring mail ? ,","Can you bring in the mail?,"
"feel well ,","I don't feel very well,"
"Would like go breakfast ? ,","Would you like to go out for breakfast?,"
"help reorder checks checking account ? ,","Can you help me reorder checks in my checking account?,"
"Would like watch movie ? ,","Would you like to watch a movie?,"
"finish homework ? ,","Did you finish your homework?,"
"late ,","Don't be late,"
"makes coffee ,","He makes some coffee,"
"take garbage ? ,","Can you take out the garbage?,"
"mess ,","Don't mess me up,"
"Certainly ,","Certainly,"
"know ? ,","How do you know?,"
",","Don't do that again,"
"Stop talking ,","Stop talking,"
"doubt ,","I doubt that,"
"itch left hand ,","I have an itch on my left hand,"
"itch right hand ,","Have an itch on my right hand,"
"agree ,","I don't agree with you,"
"think right ,","I think you're right,"
"itch back ,","I have an itch on my back,"
"help wash hands ? ,","Can you help me wash my hands?,"
"want lay back ,","I want to lay on my back,"
"wanna lay left side ,","I wanna lay on my left side,"
"itch foot ,","I have an itch on my foot,"
"want lay stomach ,","I want to lay on my stomach,"
"I'm sure ,","I'm not sure,"
"missed boat ,","You missed the boat,"
"right ,","That is right,"
"kidding ,","You're kidding,"
"That's wrong ,","That's wrong,"
"way ,","No way,"
"wrong ,","You are wrong,"
"missed point ,","You missed the point,"
"alone ? ,","Are you alone?,"
"old ? ,","How old are you?,"
"long ? ,","How long?,"
"? ,","What are you here for?,"
"go movies ? ,","Can we go to the movies?,"
"make something eat ? ,","Can you make me something to eat?,"
"something else ? ,","Was there something else?,"
"caused ? ,","What caused it?,"
"happened ? ,","What happened?,"
"last night ? ,","What did you do last night?,"
"mean ? ,","What does that mean?,"
"? ,","What is it?,"
"? ,","What is that?,"
"everyone ? ,","Where is everyone?,"
"go ? ,","When do we go?,"
"sitting ? ,","Where are you sitting?,"
"What's funny ? ,","What's so funny?,"
",","Where is,"
"? ,","Where are they?,"
"? ,","Where were you?,"
"? ,","Where is it?,"
"go ? ,","Why did you go there?,"
"hurt ? ,","Will it hurt?,"
"want hug ,","I want to hug,"
"deep end ,","Off the deep end,"
"know think ? ,","You know what I think?,"
"? ,","Who is that?,"
"I'm feeling lonely ,","I'm feeling lonely,"
"scary ,","This is scary,"
"I'm mad ,","I'm mad,"
"go ,","You'll have to go,"
"Good morning ,","Good morning,"
"I'm sad ,","I'm sad,"
"Goodnight ,","Goodnight,"
"feel sick ,","I feel sick,"
"leaving ? ,","When are we leaving?,"
"I'd like snack ,","I'd like a snack,"
"turn TV ? ,","Can you turn on the TV?,"
"wait give hand ? ,","Can you wait and give me a hand?,"
"Amazing ,","Amazing,"
"see ,","I see,"
"Keep going ,","Keep going,"
"Amazing ,","Amazing,"
"Wow ,","Wow,"
"? ,","And then?,"
"Tell ,","Tell me more,"
"OK ,","OK,"
"Ohh yeah ,","Ohh yeah,"
"That's great ,","That's great,"
"That's interesting ,","That's interesting,"
"Would like come along ? ,","Would you like to come along?,"
"sit next ? ,","Why don't you sit here next to me?,"
"Yeah , much better ,","Yeah, this is much better,"
"Keep practicing ,","Keep practicing,"
"Would like come along ? ,","Would you like to come along?,"
"good ,","Very good,"
"Yep ,","Yep,"
"coming ? ,","When are they coming?,"
"? ,","And then what?,"
"Ohh yeah ,","Ohh yeah,"
"Good morning ,","Good morning,"
"Ohh yeah ,","Ohh yeah,"
"Really ,","Really,"
"rub back ,","Please rub my back,"
"understand OK ? ,","Can you understand me OK?,"
"Keep going ,","Keep going,"
"scratch harder ,","Please scratch harder,"
"long ? ,","How long have you been doing that?,"
"know ? ,","Did you know that?,"
"like kind work ? ,","Do you like your kind of work?,"
"kind work ? ,","What kind of work do you do?,"
"favorite sport ? ,","Do you have a favorite sport?,"
"nice finally meet ,","It's nice to finally meet you,"
"need information ,","I need information about,"
"ALS ,","I have ALS,"
"button shirt ? ,","Can you please button my shirt?,"
"nice meet ,","How nice to meet you,"
"need take medicine ,","I need to take my medicine,"
"I've thinking ,","I've been thinking about,"
"nice see ,","It's nice to see you again,"
"brush teeth ,","Please brush my teeth,"
"think job ? ,","What do you think about your job?,"
"go school ? ,","Where do you go to school?,"
"That's clever ,","That's clever,"
"What's happening ? ,","What's been happening with you?,"
"? ,","What have you been up to?,"
"Whoa ,","Whoa,"
"I've heard much ,","I've heard so much about you,"
"Nice finally meet ,","Nice to finally meet you,"
"Ah , see ,","Ah, now I see,"
"let finish ,","Please let me finish,"
"Hey , Ana ,","Hey, Ana,"
"I've meaning tell ,","I've been meaning to tell you,"
"change position bed ,","Please change the position of the bed down,"
"touchy subject ,","It's a touchy subject,"
"Let's another time ,","Let's do it another time,"
"say ? ,","What did you say?,"
"That's meant ,","That's not what I meant,"
"That's true ,","That's not true,"
"misunderstood ,","You misunderstood me,"
"change position chair back ,","Please change the position of the chair back,"
"good weekend ? ,","Did you have a good weekend?,"
"help move ,","Please help me move over there,"
"think ? ,","What do you think about that?,"
"open window ,","Please open the window,"
"little often ,","A little more often,"
"real quick ? ,","Can you do it real quick?,"
"yesterday ? ,","Didn't you do it yesterday?,"
"change position chair forward ,","Please change the position of the chair forward,"
"fast ,","As fast as I can,"
"Tell day ,","Tell me about your day,"
"Give minutes ,","Give me a few minutes,"
"long take ? ,","How long did it take?,"
"Either today tomorrow ,","Either today or tomorrow,"
"long think ? ,","How long do you think it will be?,"
"can't wait long ,","I can't wait that long,"
"get done ,","I didn't get it done,"
"want ,","I want it to be over,"
"yet ,","I haven't yet,"
"I'm almost finished ,","I'm almost finished,"
"first time ,","It isn't the first time,"
"took long ,","It took so long,"
"I'm finished tonight ,","I'm finished for tonight,"
",","Over and over again,"
",","It will be a while,"
"Maybe tomorrow ,","Maybe tomorrow,"
"forever ,","It won't be forever,"
"need shower ,","I need a shower,"
"Sooner later ,","Sooner or later,"
"get later ,","We will get to it later,"
"took long ? ,","What took you so long?,"
"Wait rest ,","Wait for the rest of them,"
"time home ? ,","What time will you be home?,"
"short ,","Just for a short while,"
"Wait tomorrow ,","Wait until tomorrow,"
"scheduled ? ,","When is it scheduled?,"
"feel like ,","When I feel like it,"
"want ,","When I want to,"
"? ,","When are you here?,"
"come back ,","When you come back,"
"fork ? ,","Can I have a fork?,"
"took place ,","When it all took place,"
"glass water ? ,","Can I have a glass of water?,"
"chicken ? ,","Can I have some chicken?,"
"want snack ,","I don't want a snack,"
"Pickles ? ,","Can I have some Pickles?,"
"help snack ? ,","Can you help me with my snack?,"
"something else ? ,","Can I have something else?,"
"could eat every day ,","I could eat this every day,"
"eat every day ,","I couldn't eat this every day,"
"chips ? ,","Do we have any chips?,"
"would like eggs ,","I would like some eggs,"
"want dessert ,","I don't want any dessert,"
"want anymore ,","I don't want anymore,"
"want eggs ,","I don't want eggs,"
"need something drink ,","I need something to drink,"
"wanna eat dinner ,","I wanna eat dinner now,"
"like eel ,","I don't like eel,"
"would like sushi ,","I would like some sushi,"
"would like steak ,","I would like some steak,"
"would like black tea ,","I would like to have a black tea,"
"like coffee black ,","I like my coffee black,"
"like vegetables ,","I like vegetables,"
"would like fish ,","I would like some fish,"
"need cream ,","I do not need cream,"
"I'd like cheese sandwich ,","I'd like some cheese on my sandwich,"
"would like dessert ,","I would like to have some dessert,"
"I'd like salad ,","I'd like to have a salad,"
"like cup green tea ,","I like to have a cup of green tea,"
"need milk ,","I do not need milk,"
"I'd like sandwich ,","I'd like to have a sandwich,"
"pie ? ,","Is there any pie?,"
"dessert ? ,","Is there any dessert?,"
"make ,","Please make this again,"
"little hot ,","This is a little too hot,"
"delicious ,","This is delicious,"
"What's breakfast ? ,","What's for breakfast?,"
"like go ,","I don't like to go there,"
"What's dinner ? ,","What's for dinner?,"
"like ,","I don't like her,"
"Ohh , really like ,","Ohh, I really like that,"
"really like music ,","I really like this music,"
"like music ,","I don't like this music,"
"like restaurant ,","I don't like that restaurant,"
"like ,","I don't like to do it,"
"like ice cream ,","I like ice cream,"
"like restaurant ,","I like that restaurant,"
"like ,","I don't like them,"
"like place ,","I like that place,"
"like place ,","I don't like that place,"
"really like ,","I really like him,"
"like go ,","I like to go there,"
"turn AC ,","Please turn on the AC,"
"really like chocolate ,","I really like chocolate,"
"like waves ,","I like the waves,"
"pull shade ,","Please pull up the shade,"
"like watch movies ,","I like to watch movies,"
"would like go walk ,","I would like to go for a walk,"
"like go beach ,","I like to go to the beach,"
"I'd like read book ,","I'd like to read a book,"
"I'd like read magazine ,","I'd like to read a magazine,"
"I've always liked ,","I've always liked that,"
"I'd like talk ,","I'd like to talk about it,"
"always liked ,","I always liked her,"
"always liked ,","I always liked him,"
"turn heat ,","Please turn up the heat,"
"turn heat ,","Please turn down the heat,"
"never like ,","I never like that,"
"love ,","I love you,"
"turn AC ,","Please turn down the AC,"
"I'd like talk ,","I'd like to talk to,"
"let know called ,","I will let her know that you called,"
"turn lights ,","Please turn on the lights,"
"look forward talking soon ,","I look forward to talking with you soon,"
"turn lights ,","Please turn off the lights,"
"thank everything ,","I thank you for everything,"
"best partner ,","You are the best partner,"
"Thank good wishes ,","Thank you for your good wishes,"
"Boy , feels good ,","Boy, that feels good,"
"Thanks everything ,","Thanks for everything,"
"can't figure ,","I can't figure it out,"
"care ,","I don't care,"
"idea ,","I have no idea,"
"can't stand ,","I can't stand it,"
"Boy , I'm glad ,","Boy, I'm glad,"
",","She can do it,"
"enjoyed ,","I enjoyed myself,"
"like ,","I don't like to,"
"like anymore ,","I don't like it anymore,"
"really care ,","I don't really care,"
"think that's right ,","I don't think that's right,"
"I'm really tired ,","I'm really tired,"
"really feel bad ,","I really feel bad,"
"great day ,","I had a great day,"
"great time ,","I had a great time,"
"said know ,","I said I don't know,"
"think kind arrogant ,","I think she's kind of arrogant,"
"really get ,","I really get off on it,"
"think he's arrogant ,","I think he's arrogant,"
"think right ,","I think I did it right,"
"think messed ,","I think I messed up,"
"think that's bad ,","I think that's bad,"
"think I've enough ,","I think I've had enough,"
"think that's OK ,","I think that's OK,"
"think that's right ,","I think that's right,"
"excellent ,","I was doing excellent,"
"I'm embarrassed ,","I'm embarrassed,"
"I'm cold ,","I'm very cold,"
"I'm going take ,","I'm not going to take it,"
"thirsty ,","I am thirsty,"
"I'm going take ,","I'm not going to take it,"
"important ,","It is very important,"
"shook ,","It shook me up,"
"cup tea ,","It's not my cup of tea,"
"freaked ,","It freaked me out,"
"would much easier ,","It would be much easier,"
"frustrates ,","It frustrates me,"
"bad ,","It is so bad,"
"good ,","It was no good,"
"weird ,","It is weird,"
"wrong ,","It was wrong,"
"Pretty ugly , huh ? ,","Pretty ugly, huh?,"
"would fun ,","That would be fun,"
"That's hard ,","That's hard,"
"That's easy ,","That's easy,"
"That's logical ,","That's logical,"
"That's difficult ,","That's difficult,"
"makes laugh ,","That makes me laugh,"
"love ,","You will love it,"
"tired ,","When I am tired,"
"much ? ,","Too much for me?,"
"love ,","I love you,"
"That's problem ,","That's my problem,"
"asshole ,","What an asshole,"
"Taylor ,","Taylor,"
"need suction ,","I need suction,"
"Ana ,","Ana,"
"could mad ? ,","How could I be mad at you?,"
"need ,","I need you,"
"enjoyed seeing Thanks ,","I enjoyed seeing you Thanks,"
"sorry ,","I am sorry,"
"turn TV ,","Please turn on the TV,"
"would like help ,","I would like to help if I can,"
"Another hot day ,","Another hot day,"
"make cooler ? ,","Can you make it cooler in here?,"
"Another rainy day ,","Another rainy day,"
"Another cold day ,","Another cold day,"
"cold ,","It's cold in here,"
"looks like Blizzard ,","It looks like a Blizzard,"
"cloudy ,","It's cloudy,"
"snowing ,","It's snowing,"
"windy ,","It's so windy,"
"nice cool ,","It's nice and cool,"
"sun shining ,","The sun is shining,"
"Happy New Year ,","Happy New Year,"
"Enjoy party ,","Enjoy the party,"
"Enjoy vacation ,","Enjoy your vacation,"
"safe trip ,","Have a safe trip,"
"Bon voyage ,","Bon voyage,"
"great trip ,","Have a great trip,"
"best time ,","I am having the best time,"
"help ? ,","Can you help me?,"
"tissue ? ,","Can I have a tissue?,"
"help get dressed ? ,","Can you help me get dressed?,"
"need tissue ,","I need a tissue,"
"need glasses ,","I need my glasses,"
"turn TV ? ,","Can you turn on the TV?,"
"help get dried ? ,","Can you help me get dried off?,"
"need relax ,","I need to relax,"
"put movie ,","Please put in this movie,"
"need blow nose ,","I need to blow my nose,"
"want take shower ,","I want to take a shower,"
"need lay ,","I need to lay down,"
"careful ,","As careful as you can,"
"need shave ,","I need to shave,"
"ask favor ? ,","Can I ask for a favor?,"
", careful ,","Be very, very careful,"
"time play ? ,","Do you have the time to play?,"
"get new one ? ,","Can I get a new one?,"
"Give ,","Give me that please,"
"good weekend ? ,","Did you have a good weekend?,"
"heard anything ? ,","Have you heard anything?,"
"think ? ,","What do you think about that?,"
"would like see ,","I would like to see,"
"Tell family ,","Tell me about your family,"
"? ,","So why don't we do that?,"
"give ? ,","Why don't you give it to me?,"
"I've meaning call ,","I've been meaning to call you,"
"turn ,","Please turn that off for me,"
"find , let know ,","When you find out, let me know,"
"Thank visiting ,","Thank you for visiting with me,"
"turn ,","Please turn that on for me,"
"able help ? ,","Will you be able to help me with?,"
"correct sure ,","That is correct for sure,"
"wish ,","I wish you wouldn't do that,"
"wanna stay ,","I wanna stay here,"
"way that's wrong ,","No way that's wrong,"
"go opposite way ,","I go the opposite way,"
"helped much ,","You've helped me so much,"
"I'll meet ,","I'll meet you there,"
"go outside ,","I don't have to go outside,"
"need make appointment ,","I need to make an appointment,"
"explain ,","I should explain,"
"need wheelchair fixed ,","I need to have my wheelchair fixed,"
"turn ? ,","Can you please turn it down?,"
"I'm kind problem ,","I'm having the same kind of problem,"
"want know ,","I want to know,"
"curious ,","I was just curious,"
"go ,","I have to go,"
"I'd better get going ,","I'd better get going,"
"I'm curious ,","I'm curious about that,"
"I've got idea ,","I've got an idea,"
"deal ? ,","Is that a deal?,"
"OK ? ,","Is that OK?,"
"I'll see around ,","I'll see you around,"
"Let tell ,","Let me tell you what I did,"
"Let tell ,","Let me tell you about it,"
"one comment ,","Just one comment,"
"That's say ,","That's all I have to say,"
",","Over and out,"
"Let's another time ,","Let's do it another time,"
"Thanks telling ,","Thanks for telling me,"
"May say something ? ,","May I say something?,"
"let finish ,","Please let me finish,"
"think ? ,","What do you think about that?,"
"say ? ,","What did she say?,"
"talking ? ,","What are you talking about?,"
"? ,","How will I?,"
"tell ? ,","What were you about to tell me?,"
"refuse shoot ,","I refuse that shoot,"
"Explain ,","Explain that to me,"
"need get away ,","You need to get away from me,"
"want treatment ,","I don't want that treatment,"
"gave final word ,","I gave my final word,"
"refuse treatment ,","I refuse that treatment,"
